"","X16.cell","late.blastocyst","late.blastocyst.1","X8.cell","early.blastocyst","X16.cell.1","mid.2.cell","X8.cell.1","mid.blastocyst","late.blastocyst.2","early.2.cell","mid.blastocyst.1","early.blastocyst.1","mid.blastocyst.2","mid.blastocyst.3","mid.blastocyst.4","early.2.cell.1","X16.cell.2","X8.cell.2","early.blastocyst.2","early.blastocyst.3","mid.blastocyst.5","mid.blastocyst.6","late.2.cell","mid.blastocyst.7","late.blastocyst.3","X4.cell","early.blastocyst.4","X16.cell.3","mid.blastocyst.8","late.blastocyst.4","early.blastocyst.5","mid.blastocyst.9","X4.cell.1","X16.cell.4","X8.cell.3","X8.cell.4","mid.blastocyst.10","X16.cell.5","X8.cell.5","X8.cell.6","early.blastocyst.6","mid.blastocyst.11","X16.cell.6","X8.cell.7","early.blastocyst.7","early.2.cell.2","X4.cell.2","early.blastocyst.8","early.2.cell.3","X16.cell.7","early.blastocyst.9","mid.blastocyst.12","X4.cell.3","late.2.cell.1","early.blastocyst.10","X16.cell.8","mid.2.cell.1","mid.blastocyst.13","X4.cell.4","X4.cell.5","mid.blastocyst.14","early.blastocyst.11","X8.cell.8","late.blastocyst.5","mid.blastocyst.15","zygote","early.blastocyst.12","early.blastocyst.13","mid.blastocyst.16","X16.cell.9","mid.blastocyst.17","early.blastocyst.14","mid.blastocyst.18","mid.blastocyst.19","mid.blastocyst.20","X16.cell.10","mid.2.cell.2","X16.cell.11","mid.blastocyst.21","X16.cell.12","late.blastocyst.6","X16.cell.13","X16.cell.14","X8.cell.9","X8.cell.10","X16.cell.15","mid.blastocyst.22","early.blastocyst.15","early.blastocyst.16","late.blastocyst.7","mid.blastocyst.23","mid.2.cell.3","X16.cell.16","late.blastocyst.8","X8.cell.11","late.blastocyst.9","late.blastocyst.10","mid.blastocyst.24","X16.cell.17","early.blastocyst.17","early.2.cell.4","X8.cell.12","early.blastocyst.18","X16.cell.18","late.2.cell.2","mid.2.cell.4","X8.cell.13","early.2.cell.5","mid.2.cell.5","X16.cell.19","X16.cell.20","late.blastocyst.11","X8.cell.14","X16.cell.21","mid.blastocyst.25","early.blastocyst.19","mid.blastocyst.26","X8.cell.15","X16.cell.22","late.2.cell.3","X16.cell.23","mid.2.cell.6","X8.cell.16","early.blastocyst.20","late.blastocyst.12","mid.blastocyst.27","X16.cell.24","late.blastocyst.13","late.blastocyst.14","X8.cell.17","X4.cell.6","X16.cell.25","late.blastocyst.15","X16.cell.26","X4.cell.7","X8.cell.18","X8.cell.19","mid.blastocyst.28","X8.cell.20","early.blastocyst.21","X8.cell.21","X8.cell.22","X16.cell.27","X8.cell.23","X8.cell.24","X16.cell.28","mid.blastocyst.29","X8.cell.25","late.blastocyst.16","late.blastocyst.17","mid.blastocyst.30","late.2.cell.4","X8.cell.26","X16.cell.29","X16.cell.30","early.blastocyst.22","zygote.1","mid.blastocyst.31","mid.blastocyst.32","mid.blastocyst.33","late.2.cell.5","X8.cell.27","mid.blastocyst.34","mid.blastocyst.35","X16.cell.31","X8.cell.28","X16.cell.32","X8.cell.29","X8.cell.30","X8.cell.31","X16.cell.33","late.blastocyst.18","X16.cell.34","X16.cell.35","X16.cell.36","X4.cell.8","early.blastocyst.23","mid.blastocyst.36","X16.cell.37","X16.cell.38","X4.cell.9","X8.cell.32","early.blastocyst.24","mid.blastocyst.37","X8.cell.33","X16.cell.39","X16.cell.40","early.blastocyst.25","X8.cell.34","mid.blastocyst.38","mid.blastocyst.39","mid.2.cell.7","zygote.2","mid.blastocyst.40","mid.blastocyst.41","late.blastocyst.19","X16.cell.41","mid.blastocyst.42","mid.2.cell.8","late.blastocyst.20","late.blastocyst.21","early.blastocyst.26","early.blastocyst.27","early.blastocyst.28","mid.blastocyst.43","X16.cell.42","mid.blastocyst.44","mid.blastocyst.45","mid.blastocyst.46","zygote.3","early.blastocyst.29","mid.blastocyst.47","late.blastocyst.22","late.blastocyst.23","early.2.cell.6","late.2.cell.6","X8.cell.35","X16.cell.43","X8.cell.36","early.blastocyst.30","X8.cell.37","late.2.cell.7","mid.2.cell.9","late.blastocyst.24","mid.blastocyst.48","X4.cell.10","X16.cell.44","mid.blastocyst.49","mid.blastocyst.50","early.blastocyst.31","late.blastocyst.25","mid.blastocyst.51","mid.blastocyst.52","early.blastocyst.32","X16.cell.45","mid.blastocyst.53","X16.cell.46","mid.2.cell.10","late.blastocyst.26","early.blastocyst.33","X4.cell.11","early.blastocyst.34","X8.cell.38","X16.cell.47","X16.cell.48","X8.cell.39","X16.cell.49","late.2.cell.8","X4.cell.12","X16.cell.50","mid.blastocyst.54","X8.cell.40","X4.cell.13","late.blastocyst.27","early.blastocyst.35","mid.blastocyst.55","mid.2.cell.11","mid.blastocyst.56","X16.cell.51","X16.cell.52","early.blastocyst.36","mid.blastocyst.57","early.blastocyst.37","X8.cell.41","early.blastocyst.38","X8.cell.42","X16.cell.53","X8.cell.43","X16.cell.54","X16.cell.55","X8.cell.44","early.blastocyst.39","mid.blastocyst.58","mid.blastocyst.59","late.blastocyst.28","X8.cell.45","early.2.cell.7","X16.cell.56","X16.cell.57","early.blastocyst.40","late.blastocyst.29","early.blastocyst.41","early.blastocyst.42","late.2.cell.9","X8.cell.46"
"E330021D16Rik",0,0,0,0,0,0,8927,0,4,0,239382,2,0,0,0,0,113083,1,237,0,0,0,106,4452,0,0,163,0,0,0,0,1,0,75,0,0,0,0,2,0,0,3,43,0,4,0,147475,0,0,101518,0,0,98,9,12635,0,5,2302,1,616,1035,0,1,0,0,12155,179980,0,0,0,0,1,0,0,0,0,0,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322,0,0,2,0,0,0,0,0,150149,1,0,0,10906,747,4,243610,1126,0,1,0,2,0,9,0,0,25,214,8361,0,908,47,0,0,0,0,0,0,0,1502,7,0,318,296,0,1,0,207,0,0,45,0,56,0,5,0,0,0,0,2,7151,216,0,0,0,136703,0,1,0,12820,1,0,0,0,322,0,0,0,0,199653,0,0,0,0,465,0,4,1,0,0,60,0,0,71,0,1,0,6,0,0,1873,100919,14,0,0,0,0,2373,0,0,0,0,0,5,0,0,5,94,159498,0,1,0,0,86025,4572,12,2,0,0,0,8950,2689,0,2,1,42,16,0,0,0,0,0,0,0,0,4,1813,0,0,603,0,131,0,0,0,1,14806,1390,0,0,258,45,0,0,0,1480,0,61,0,0,0,1,2,0,717,0,0,0,56,364,0,0,0,1,1,201541,0,0,0,0,0,0,4749,0
"Bcl2l10",0,0,0,223,0,0,5215,0,1,0,116600,1,0,0,1,0,72792,0,0,0,0,0,72,4221,0,0,10,4,0,0,0,0,0,54,0,44,0,0,0,0,2,0,29,477,0,0,69095,0,232,46452,0,0,74,38,5404,290,4,2378,2,314,166,0,0,0,0,8458,136500,0,0,0,0,0,0,150,0,0,0,2651,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,0,60432,0,0,0,4727,1088,3,104945,1544,0,0,0,0,341,3,26,0,0,0,3433,0,765,80,0,0,0,196,0,0,3,231,0,0,0,403,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,3013,0,0,0,0,131060,0,0,0,2581,0,0,0,0,0,0,29,2,0,82801,1,0,0,0,246,0,1,0,0,1,0,0,0,22,0,1,0,0,0,0,3591,102330,4,0,0,1,0,1387,0,0,0,0,0,0,0,0,9,96,147011,0,1,0,0,46094,911,2,0,0,0,0,4273,4051,0,0,4,23,10,0,0,0,1,0,0,0,0,0,1524,0,0,60,0,0,0,0,1,0,6003,27,0,0,41,395,0,0,0,1142,0,29,0,0,0,0,0,0,43,0,0,8,0,0,0,0,0,0,0,79045,429,5,0,0,0,0,1568,0
"E330034G19Rik",0,0,0,0,0,0,3374,0,1,0,87598,1,0,0,0,0,53232,0,0,0,456,0,38,1399,0,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,19,0,0,0,49011,0,0,35435,0,0,32,1,4087,0,2,2252,0,1,0,0,0,0,0,5013,94660,0,0,0,0,0,0,0,0,0,0,1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,0,0,0,0,0,0,0,0,52851,1,0,0,5119,661,0,84790,1380,0,0,0,0,0,5,0,0,0,0,7881,133,462,74,0,0,0,0,0,0,0,21,62,0,51,362,0,0,0,0,0,0,3,10,0,1,0,0,3,0,0,0,3627,0,0,0,0,76955,0,0,0,4748,0,0,0,0,0,0,0,0,0,58069,0,0,0,0,49,0,3,0,0,0,0,0,0,136,0,0,0,3,0,0,1706,58970,2,1,0,2,0,1139,0,0,0,0,0,0,0,0,6,41,78386,0,0,0,0,29065,1523,0,0,1,0,0,4011,1932,0,0,1,8,2,0,0,0,0,0,0,0,0,0,719,0,0,353,0,0,0,0,3,0,4507,17,0,0,0,0,0,0,0,803,0,0,0,0,0,0,2,0,0,0,371,0,0,0,0,0,0,0,0,60330,0,0,0,0,0,0,3129,0
"Tcl1",0,219,0,0,1140,0,11889,2,9,0,132720,126,167,0,0,3001,79128,1,7,0,2,1912,142,15089,25,1855,109,8,0,3479,0,794,0,122,0,0,0,1466,0,0,0,5699,33,0,1,0,85437,0,556,70361,0,0,50,494,20804,773,12,10450,238,1,1,2,0,0,2125,8444,181171,0,573,0,0,0,735,0,0,0,0,8390,0,0,0,337,0,0,76,0,0,1,882,0,0,0,10672,0,4069,0,2022,958,0,0,0,98318,0,0,0,24540,4335,35,157194,6922,0,0,2396,0,0,177,0,0,0,0,15565,0,1887,0,0,0,2,0,2621,382,297,50,0,0,363,5,27,0,645,0,10,0,10,0,0,1,0,0,0,1,2913,0,15520,0,0,3,0,121870,1,0,0,13604,1,2,0,0,0,0,0,0,0,188401,804,0,0,0,0,0,0,0,0,0,0,2592,0,467,367,253,0,1,0,1440,18336,95469,7,0,0,0,0,4921,1,0,0,0,824,0,0,0,633,90,129902,6222,0,8,410,55275,16516,11,0,0,7,0,18353,23905,4056,0,15,34,5,0,0,0,1264,0,475,0,2227,0,4982,0,0,1045,0,0,0,0,24,0,20229,172,0,0,0,350,340,0,403,3421,27,0,0,10,0,816,3,0,8,0,0,0,159,542,702,0,880,2,0,116488,0,0,206,0,1384,447,10117,0
"Oas1d",0,11,0,0,0,0,3270,0,5,0,85062,2,794,0,12,0,46021,0,252,1,0,0,50,4387,355,0,6,0,0,921,0,190,0,171,0,0,0,457,0,30,0,0,17,1,1,0,58572,54,0,35194,0,0,45,5,7132,0,3,2825,0,393,0,0,0,0,1,6131,105815,0,0,163,0,0,13,11,0,1,312,2139,445,0,0,0,79,2,0,0,0,2,0,0,0,311,3211,0,0,0,0,14,0,0,0,40947,792,0,0,8387,758,2,93706,1848,0,0,0,0,0,5,0,0,0,0,3481,10,738,14,0,0,0,0,398,0,0,888,0,0,0,154,0,0,10,191,0,0,0,0,41,2,43,0,0,0,0,0,6660,33,0,0,0,86030,0,0,0,7509,0,0,23,0,0,0,0,0,0,120610,3,65,0,11,561,0,1,0,0,18,1,0,0,1,0,0,0,69,0,0,2010,62836,9,1,0,0,0,1541,0,0,38,0,13,24,0,0,9,88,100452,1,0,0,37,33415,7094,0,0,134,0,0,8634,1724,0,0,257,35,7,0,0,0,0,0,45,0,1804,0,1230,0,0,40,0,171,0,0,17,0,8936,664,0,21,0,1,11,0,531,1104,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,72653,0,0,0,0,261,0,4067,0
"Btg4",0,0,0,0,0,0,15962,0,0,0,142178,2,0,0,1,0,77555,0,0,0,0,0,54,14095,0,0,32,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,39,0,0,0,73815,10,0,50365,0,0,50,4,24107,0,14,13130,0,291,132,0,0,0,0,8470,106678,0,0,0,0,0,0,0,0,0,0,18289,21,0,0,0,378,0,0,23,0,1,0,0,0,0,15779,0,0,1,0,0,0,184,0,81449,0,0,0,33261,4810,58,106719,10558,0,0,0,0,0,6,0,0,0,0,19318,0,3681,0,0,0,0,0,0,0,15,1007,0,0,0,16,86,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18350,0,0,1,0,103323,0,0,0,17628,4,0,0,0,0,0,2,0,0,36778,0,0,0,0,536,0,1,0,0,123,0,0,0,6,3,0,0,8,0,0,32964,76781,5,0,0,7,0,7076,0,0,0,0,0,0,0,0,6,59,106518,0,0,0,0,46644,11422,22,0,0,0,0,23532,38424,0,0,398,6,8,0,0,0,0,0,0,5,0,0,7621,0,0,522,0,0,0,0,4,0,47981,240,0,0,0,605,0,0,0,4991,0,0,0,0,0,0,5,0,0,0,142,0,0,0,0,0,0,0,0,94973,19,0,0,0,0,27,19452,2
"Zscan5b",0,4,0,1176,0,10,9960,92,0,0,185,0,0,0,140,0,140,0,273,0,881,129,10,57261,0,0,3228,0,375,0,0,0,0,2707,1073,1951,445,0,0,3024,1864,0,774,1,287,0,189,5736,0,369,0,13,1,327,57945,0,11,3737,0,4930,8519,0,0,1415,0,46,437,0,0,0,1333,0,0,0,0,0,1233,7122,487,0,653,0,1401,2,235,1143,0,26,0,0,0,0,6073,2,1,364,0,0,1240,24,0,161,224,1,0,64895,2619,993,348,6575,0,0,0,740,463,0,2,28,1236,939,42826,0,1889,349,0,0,0,0,0,1,196,3507,271,0,570,2760,258,437,0,0,0,1403,732,226,464,95,694,0,577,0,0,0,67245,1894,0,203,0,74,0,0,0,68458,4,0,0,381,725,686,324,1,1287,0,0,453,116,2366,5138,0,0,773,0,7187,696,1221,0,433,210,303,842,10,0,0,1802,154,0,0,0,2044,0,2995,0,0,0,0,0,0,1568,0,0,0,361,0,0,0,0,297,74552,46,6,0,0,1482,67587,1366,0,0,2323,0,0,0,0,0,0,0,0,290,0,11,3377,0,0,2146,0,0,567,818,313,856,66093,8296,479,0,539,10698,0,0,0,4342,0,213,559,0,0,0,58,0,1492,1231,521,2244,0,2972,0,0,574,0,0,278,40,767,0,0,0,0,83100,47
"Khdc1b",0,34,0,5,0,0,6197,1,1,0,96474,1,0,0,0,0,47448,6,12,0,0,0,33,11659,0,0,76,3,11,429,0,0,0,934,402,6,42,13,0,8,4,0,18,42,15,0,60833,1807,0,43252,0,0,25,296,13528,0,4,3888,0,2133,2237,0,0,1,0,3697,93625,0,0,0,0,0,0,0,0,0,0,6552,0,0,8,0,10,12,112,57,66,0,0,0,114,1,5044,0,0,1,33,268,0,170,0,57088,1083,0,0,19688,1590,66,86268,5102,0,20,2,46,6,1,18,1,11,206,21127,4,1613,8,0,0,1,8,0,25,7,1890,1,0,3,1918,97,122,153,8,0,3,1,5,249,14,8,0,115,13,0,1,11301,492,7,10,0,76256,0,0,0,15133,2,0,0,12,283,6,3,152,2,82072,0,1,13,57,1423,0,1127,98,0,1976,92,0,315,167,0,314,0,12,1,0,4668,65961,3,0,0,36,0,2975,0,78,0,0,4,1,0,0,4,33,98126,55,0,1,199,32441,12141,89,1,7,0,0,18062,5585,166,0,275,28,2,0,0,196,0,0,2,3,0,12,2821,0,0,567,9,205,0,2,1,0,27985,1960,0,1,0,2899,3,0,0,1916,0,11,1,0,0,0,4,0,260,9,179,26,6,147,11,1,34,0,28,60966,1,725,41,0,0,0,14662,220
"B020004C17Rik",0,0,0,260,0,56,22491,47,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,83995,0,0,4376,0,0,0,0,0,0,11072,559,0,79,0,0,560,976,0,0,0,115,0,2,15997,0,817,0,0,0,5717,57346,0,20,9719,0,5265,11187,0,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,17833,126,0,0,0,713,0,88,104,0,0,0,0,0,0,24420,0,0,66,0,0,0,161,0,48,183,0,0,85117,4239,151,0,13037,0,0,0,306,0,0,0,0,14,0,55125,0,3456,20,0,0,0,0,0,0,63,16829,0,0,0,7791,126,16,0,59,0,0,275,0,63,44,0,0,104,0,0,0,96509,203,0,0,0,0,0,0,0,59288,5,0,0,0,132,0,1182,576,4,0,0,92,0,0,2919,0,0,0,0,21276,0,0,0,248,0,88,0,27,0,0,16005,2,0,0,0,99,0,4310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,77760,71,0,0,0,19,79718,12640,0,0,2167,0,0,0,0,0,0,0,0,12,0,0,7054,0,0,7969,0,0,0,0,15,0,94609,14503,0,0,655,15148,0,0,0,5166,0,0,0,0,0,0,29,0,242,0,934,0,0,0,0,0,0,0,13,2,0,1,0,0,0,0,48028,85
"D6Ertd527e",0,0,0,0,0,0,2794,4,1,0,71442,1,0,0,0,0,33655,0,159,0,0,0,147,3360,0,0,1,0,0,0,0,0,0,60,0,12,0,0,0,0,0,0,18,0,3,0,53891,0,0,33563,0,0,41,52,10852,0,5,3553,1,16,744,0,0,0,0,4836,99617,0,0,0,0,0,0,0,0,0,0,2506,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3541,0,0,1,0,0,0,0,0,37828,3,0,0,7263,1286,9,93197,3076,0,0,0,0,0,5,0,0,0,0,6624,0,1389,2,0,0,0,0,0,0,1,170,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,6381,0,0,0,0,74289,0,0,0,12260,4,0,0,0,0,0,0,0,1,46597,0,0,0,0,37,0,0,0,0,0,7,0,0,8,0,0,0,8,0,0,6234,56720,3,0,0,0,0,2840,0,0,0,0,0,1,0,0,2,52,85154,0,0,0,0,29257,4785,8,0,0,0,0,5116,6445,0,0,34,14,6,0,0,0,0,0,0,4,0,0,2959,0,0,29,0,1,0,0,35,0,11255,2,0,0,4,504,0,0,0,1824,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,55946,0,0,0,0,0,0,8285,69
