"","Hi_2338_1","Hi_2338_2","Hi_2338_3","Hi_2338_4","Hi_2338_5","Hi_2338_6","Hi_2338_7","Hi_2338_8","Hi_2338_9","Hi_2338_10","Hi_2338_11","Hi_2338_12","Hi_2338_13","Hi_2338_14","Hi_2338_15","Hi_2338_16","Hi_2338_17","Hi_2338_18","Hi_2338_19","Hi_2338_20","Hi_2338_21","Hi_2338_22","Hi_2339_1","Hi_2339_2","Hi_2339_3","Hi_2339_4","Hi_2339_5","Hi_2339_6","Hi_2339_7","Hi_2339_8","Hi_2339_9","Hi_2339_10","Hi_2339_11","Hi_2339_12","Hi_2339_13","Hi_2339_14","Hi_2339_15","Hi_2339_16","Hi_2339_17","Hi_K562_1","Hi_K562_2","Hi_K562_3","Hi_K562_4","Hi_K562_5","Hi_K562_6","Hi_K562_7","Hi_K562_8","Hi_K562_9","Hi_K562_10","Hi_K562_11","Hi_BJ_1","Hi_BJ_2","Hi_BJ_3","Hi_BJ_4","Hi_BJ_5","Hi_BJ_6","Hi_BJ_7","Hi_BJ_8","Hi_BJ_9","Hi_BJ_10","Hi_BJ_11","Hi_BJ_12","Hi_BJ_13","Hi_BJ_14","Hi_BJ_15","Hi_BJ_16","Hi_BJ_17","Hi_BJ_18","Hi_BJ_19","Hi_BJ_20","Hi_BJ_21","Hi_BJ_22","Hi_BJ_23","Hi_BJ_24","Hi_BJ_25","Hi_BJ_26","Hi_BJ_27","Hi_BJ_28","Hi_BJ_29","Hi_BJ_30","Hi_BJ_31","Hi_BJ_32","Hi_BJ_33","Hi_BJ_34","Hi_BJ_35","Hi_BJ_36","Hi_BJ_37","Hi_K562_12","Hi_K562_13","Hi_K562_14","Hi_K562_15","Hi_K562_16","Hi_K562_17","Hi_K562_18","Hi_K562_19","Hi_K562_20","Hi_K562_21","Hi_K562_22","Hi_K562_23","Hi_K562_24","Hi_K562_25","Hi_K562_26","Hi_K562_27","Hi_K562_28","Hi_K562_29","Hi_K562_30","Hi_K562_31","Hi_K562_32","Hi_K562_33","Hi_K562_34","Hi_K562_35","Hi_K562_36","Hi_K562_37","Hi_K562_38","Hi_K562_39","Hi_K562_40","Hi_K562_41","Hi_K562_42","Hi_HL60_1","Hi_HL60_2","Hi_HL60_3","Hi_HL60_4","Hi_HL60_5","Hi_HL60_6","Hi_HL60_7","Hi_HL60_8","Hi_HL60_9","Hi_HL60_10","Hi_HL60_11","Hi_HL60_12","Hi_HL60_13","Hi_HL60_14","Hi_HL60_15","Hi_HL60_16","Hi_HL60_17","Hi_HL60_18","Hi_HL60_19","Hi_HL60_20","Hi_HL60_21","Hi_HL60_22","Hi_HL60_23","Hi_HL60_24","Hi_HL60_25","Hi_HL60_26","Hi_HL60_27","Hi_HL60_28","Hi_HL60_29","Hi_HL60_30","Hi_HL60_31","Hi_HL60_32","Hi_HL60_33","Hi_HL60_34","Hi_HL60_35","Hi_HL60_36","Hi_HL60_37","Hi_HL60_38","Hi_HL60_39","Hi_HL60_40","Hi_HL60_41","Hi_HL60_42","Hi_HL60_43","Hi_HL60_44","Hi_HL60_45","Hi_HL60_46","Hi_HL60_47","Hi_HL60_48","Hi_HL60_49","Hi_HL60_50","Hi_HL60_51","Hi_HL60_52","Hi_HL60_53","Hi_HL60_54","Hi_iPS_1","Hi_iPS_2","Hi_iPS_3","Hi_iPS_4","Hi_iPS_5","Hi_iPS_6","Hi_iPS_7","Hi_iPS_8","Hi_iPS_9","Hi_iPS_10","Hi_iPS_11","Hi_iPS_12","Hi_iPS_13","Hi_iPS_14","Hi_iPS_15","Hi_iPS_16","Hi_iPS_17","Hi_iPS_18","Hi_iPS_19","Hi_iPS_20","Hi_iPS_21","Hi_iPS_22","Hi_iPS_23","Hi_iPS_24","Hi_Kera_1","Hi_Kera_2","Hi_Kera_3","Hi_Kera_4","Hi_Kera_5","Hi_Kera_6","Hi_Kera_7","Hi_Kera_8","Hi_Kera_9","Hi_Kera_10","Hi_Kera_11","Hi_Kera_12","Hi_Kera_13","Hi_Kera_14","Hi_Kera_15","Hi_Kera_16","Hi_Kera_17","Hi_Kera_18","Hi_Kera_19","Hi_Kera_20","Hi_Kera_21","Hi_Kera_22","Hi_Kera_23","Hi_Kera_24","Hi_Kera_25","Hi_Kera_26","Hi_Kera_27","Hi_Kera_28","Hi_Kera_29","Hi_Kera_30","Hi_Kera_31","Hi_Kera_32","Hi_Kera_33","Hi_Kera_34","Hi_Kera_35","Hi_Kera_36","Hi_Kera_37","Hi_Kera_38","Hi_Kera_39","Hi_Kera_40","Hi_GW21.2_1","Hi_GW21.2_2","Hi_GW21.2_3","Hi_GW21.2_4","Hi_GW21.2_5","Hi_GW21.2_6","Hi_GW21.2_7","Hi_GW21.2_8","Hi_GW21.2_9","Hi_GW21.2_10","Hi_GW21.2_11","Hi_GW21.2_12","Hi_GW21.2_13","Hi_GW21.2_14","Hi_GW21.2_15","Hi_GW21.2_16","Hi_GW21_1","Hi_GW21_2","Hi_GW21_3","Hi_GW21_4","Hi_GW21_5","Hi_GW21_6","Hi_GW21_7","Hi_GW21_8","Hi_NPC_1","Hi_NPC_2","Hi_NPC_3","Hi_NPC_4","Hi_NPC_5","Hi_NPC_6","Hi_NPC_7","Hi_NPC_8","Hi_NPC_9","Hi_NPC_10","Hi_NPC_11","Hi_NPC_12","Hi_NPC_13","Hi_NPC_14","Hi_NPC_15","Hi_GW16_1","Hi_GW16_2","Hi_GW16_3","Hi_GW16_4","Hi_GW16_5","Hi_GW16_6","Hi_GW16_7","Hi_GW16_8","Hi_GW16_9","Hi_GW16_10","Hi_GW16_11","Hi_GW16_12","Hi_GW16_13","Hi_GW16_14","Hi_GW16_15","Hi_GW16_16","Hi_GW16_17","Hi_GW16_18","Hi_GW16_19","Hi_GW16_20","Hi_GW16_21","Hi_GW16_22","Hi_GW16_23","Hi_GW16_24","Hi_GW16_25","Hi_GW16_26"
"Spike1",0,0,0,0,0,0,15.71,10.69,0,0,0,0,0,1.46,0,18.56,19.91,5.64,14.97,0,0,0,0,4.78,19.77,0,13.47,0,0,31.1,12.42,7.31,3.14,12.43,0,0,17.11,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188912.86,261206.21,195734.37,263305.26,240829.23,187299.56,345294.52,237161.69,216887.91,34333.61,22707.87,50956.46,29614.22,29893.36,33378.97,28593.97,58269.66,78354.07,23859.62,28014.66,34029.46,35173.6,55422.09,23029.45,23274.3,36842.16,22012.36,67226.96,29746.52,29075.81,30711.28,36233.14,29469.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.54,77.75,98.69,60.65,24.41,44.44,67.56,26.97,37.2,23.35,0,83.09,108.56,58.2,0,271.93,0,0,0,0,0,0,0,0,144993.67,75604.02,137068.77,160000.03,95270.39,80619.04,89871.99,135261.87,97058.08,143402.38,103176.52,100881.01,139114.32,136193.77,135754.02,0,0,0,0,0,0,0,0,0,0,0,0,0,44.41,18.68,32.04,4.19,42.04,97.55,36.23,54.49,18.04,0,0,94.51,34.9
"HBG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48646.25,32226.46,11710.5,27547.93,37260.6,12521.09,39056.41,34443.17,38989.8,70883.61,44541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13864.65,49818.65,51469.19,13088.06,48199.07,39856.87,41430.98,17060.17,895.06,17103.52,35692.08,25335.8,15791.81,42536.92,17525.58,37923.05,18336.3,31609.77,46266.96,57149.72,39927.06,38747.2,15910.03,65478.45,42158.36,44588.28,34361.83,11286.75,14070.56,16205.57,46709.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HBG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30688.12,23081.84,12626.46,17739.09,25563.29,17346.03,24778.55,22891.93,24259.92,42310.31,26803.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8729.66,26042.11,30169.9,8420.26,31739.54,22925.09,30666.84,13006.6,3201.45,12685.71,20352.68,17986.86,13404.04,27986.41,11051.13,25050.89,11508.52,21234.93,29261.25,26926.71,22213.42,22577.12,12875.62,38127.72,34367.58,26449.93,25793.91,9196.45,11595.13,10575.64,26757.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0.61,0,0.42,0,0,77.4,0,0,0,0,0,29.45,0,7.08,0,0,0,0.95,0,0,0,0,0,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.13,0,0,0,0,255.43,0,107.04,0,0,0,31.24,0,1.05,0,0,0,0,2.4,0,0,1.11,0,1.94,0,69.35,0,0,0,0,17.37,18403.55,6522.32,15500.25,11585.85,5063.22,27578.7,8320.49,4805.35,13067.11,8515.18,23160.63,16823.27,23990.33,42574.56,36945.9,14904.05,35273.83,24546.52,34763.12,10804.89,44384.77,5705.3,24172.15,21814.02,14.68,25573.73,6771.61,25001.2,7874.89,6903.25,38419.96,13239.98,17796.03,24798.71,29367.53,12067.31,15494.55,19543.47,31671.57,2457.56,6010.39,26413.94,21353.56,38.06,21481.97,1460.6,1689.66,5486.15,1025.09,7994.31,5016.14,1368.64,2263.51,3589.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,2.3,0,0,0,0,0,2.56,3.49,0,0,0,44.43,1.52,0,0,0,1.98,1.32,0,0,2.57,0,0,0,1.55,0,2.92,0,0,0,0,1.11,0,0,0,0,2.48,4.7,0,1.53,0,0,0,0,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.49,0,0,1.13,1.59,0.89,0,0,0,0
"Spike4",0,0,0,0,0,0,1.52,0.71,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,1.66,0,1.18,0,0,5.01,0,0.53,0.33,1.9,0,0,0.62,0.45,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12104.35,15192.91,11387.78,14077.44,15989.62,13055.07,19483.93,14729.04,15310.18,2071.2,1002.61,2509.07,837.59,1084.94,1471.95,2128.64,2111.97,4158.92,1287.08,1543.62,1346.36,640.98,2465.46,1109.9,1506.63,2078.02,854.3,3308.14,1433.95,1718.02,2036.93,1073.56,1659.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04,2.82,7.7,1.91,0.98,2.38,9.15,0,2.07,1.78,0,2.22,5.4,1.68,0,18.73,0,0,0,0,0.43,0,0,0,5409.64,3312.01,6417.75,7357.37,6119.44,3862.26,4381.43,8095.13,4295.52,8525.67,5282.08,3318.41,7786.82,2528.79,7003.78,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,2.07,4.86,2.02,1.17,6.29,1.74,4.92,2.18,0,0,4.97,1.49
"TUBA1A",0,0,7.38,43.31,30.11,0,16.82,2.53,0,0.63,6.12,1.1,0.3,224.55,0.34,68.15,0.62,0.19,3.7,0,0.78,5.22,0.26,13.92,3.33,0.66,1.5,0,0,0.67,94.69,1.41,0.36,2.12,111.1,30.34,0.66,0.92,0,1.47,1.23,0.07,84.14,106.66,1.84,80.92,6.35,16.87,61.84,3.97,369.99,818.28,690.32,769.07,477.34,942.09,927.34,733.03,376.43,572.62,1249.82,425.24,297.07,1419.93,366.82,375.65,769.22,588.56,1193.13,957.78,534.45,916.54,951.07,542.17,516.8,198.81,969.76,723.18,2280.05,291.55,478.12,718.01,1044.09,537.24,1055.34,1396.8,861.86,2.85,34.56,3.23,47.14,3.03,1265.61,2.96,5.8,566.43,24.05,0.89,6.16,45.82,169.77,94.89,2.87,1.05,3.22,1.16,10.34,2.06,27.43,0.68,0.58,20.74,1.57,25.6,3.28,76.66,1.54,1.33,0,54.68,467.11,25.39,163.19,10.92,542.3,0,0,0,0,0,0,399.12,104.05,0,0,0,0,0,2.43,0,0,0,0,2.33,0,36.32,59.95,0,0.97,0,0,0,0,8.91,0,1.31,0,3.08,0,32.54,0,0,0,97.01,3.21,298.68,20.53,4.45,2.28,0.81,13.87,0.48,461.19,838.96,913.47,773.82,501.49,198.53,453.77,312.33,1280.32,1312.07,880.84,465.56,323.33,292.41,702.57,700.28,499.29,728.15,630.9,409.23,618.13,532.83,308.25,776.34,21.31,18.61,90.9,213.22,143.84,197.28,14.47,18.62,18.24,25.08,16.16,23.29,100.15,2.2,114.72,16.51,53.47,20.86,24.17,7.65,33.43,141.47,145.45,149.73,20.5,376.74,173.98,43.52,63.51,25.85,250.85,47.54,20.55,158.96,323.16,18.38,72.92,17.1,17.42,25,4016.69,5249.16,6470.35,11983.06,18842.98,22478,17861.99,40190.83,24927.51,29243.58,22822.92,10983.34,23004.94,21527.13,7319.59,21000.11,37793.5,32211.27,32774.88,16679.32,8278.6,16285.43,39722.7,12422.63,5882.77,3138.34,9729.36,3542.89,1138.22,1433.33,3897.52,2105.77,4757.88,5908.91,8175.62,6829.9,5634.62,4935.04,7660.85,19184.39,19714.32,26415.02,13553.75,22791.89,4425.86,30154.06,21843.89,7805.92,9499.6,10663.87,21788.1,14235.47,7810.43,8877.4,26440.37,5456.45,17941.89,7798.71,20299.62,25007.25,8831.83,21643.99,15140.74,6856.01,21522.57
"CD74",0.95,0,0,0.52,2.05,7.77,0.58,0.94,2.95,0,0,0,0,0.7,0.47,0,0,1.24,2.26,4.16,0,0,7521.27,12395.25,6911.83,44.44,6007.55,5013.2,5416.17,8666.58,5597.55,4822,11174.44,12988.9,2441.77,8924.84,2387.76,767.99,6369.84,0,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,2.79,0,0.44,0,42.25,80.37,42.85,60.74,10.4,105.31,8.24,77.85,54.64,2.2,6.55,43.04,63.97,200.35,43.49,60.68,144.24,97.27,84.63,141.94,7.68,35.79,2.05,16.41,0,0,0,45.64,0,0,0,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,36.18,0,9.09,3.73,0,0,0,3.63,0,0,0,0,0,0,15.56,0,0,0,0,0,0,0,0,0,0,0,0,1.37,1.37,2.51,0,0,0.48,0,0,3.73,0,4.44,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0
"S100A2",0,34.4,12.41,6.81,44.98,28.82,0,0,16.21,16.49,0,52.41,0,2.27,0,0,13.13,107.42,11.65,7.03,0,5.05,0,0,71.27,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.13,37.59,13.1,0,0,35.23,1.68,0,0,9.04,3.38,0,0,4.18,5.81,2.82,5.77,2.24,8.24,10.87,2.76,0,0,3.88,0,0,21.95,0,0,45.33,1.55,0,0,0,5.82,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,4.36,4.08,0,3.35,0,3.36,0,3.64,1.48,0,0,2.91,2.38,3.71,0,0,5.89,0,3.59,0,2.31,5.71,0,2.83,0,13.22,0,6.65,26.69,2.93,0,0,2.64,3.34,0,7.22,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,0,0,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0,7695.52,7072.03,6859.34,6473.63,9273.07,7440.03,11691.34,9633.92,10622.66,11248.33,6007.35,9033.28,8511.22,6312.67,8545.86,8068.53,10905.7,6053.13,10031.96,11097.4,9602.5,10681.28,13796.01,9766.95,13554.96,20376.45,10687.48,9058.75,11563.52,7994.06,10037.74,7294.73,12285.35,8563.98,9125.88,10178.37,5772.48,5795.83,6396.76,9679.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,414.4,17.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAT1",14244.82,18627.22,32664.31,9226.96,7373.51,8445.83,18239.74,7572.17,34224.51,12376.05,11167.8,44587.94,8935.39,27936.83,9374.93,39138.04,14759.37,29480.98,5172.68,12335.36,3242.38,16979.2,1541.74,357.31,327.7,30.38,26.44,227.71,662.98,649.92,2693.59,6.59,226.44,0,248.42,197.7,81.94,99.7,159.65,45.42,60.69,0,148.51,33.99,10.28,174.4,53.38,135.57,23.06,25.59,539.78,355.66,491.7,660.92,149.47,811.96,214.16,417.27,225.25,544.65,300.14,460.98,215.06,152.16,159.9,205.9,1793.19,381.14,299.5,1549.34,87.87,818.95,640.7,62.01,847.43,888.17,821.46,490.92,263.11,142.56,40.8,414.19,676.45,224.75,264.16,423.05,382.25,60.64,26.97,13.56,31.41,9.34,296.85,23.37,34.78,213.52,41.52,16.83,23.91,57.66,110.48,83.3,69.33,46.29,6.19,9.14,19.95,92.65,112.47,212.74,0,45.65,158.71,31.6,110.67,94.64,1.5,5.8,0,71.87,0,1849.59,2.33,0,3.65,0,0,1.94,18.01,7.32,1.63,0,28.98,0,195.33,0,0,0,0,0,0,70.55,1.92,115.77,168.68,0,65.68,3.16,802.19,1.74,565.43,71.52,2.61,57.57,0,0,8.95,901.03,0,34.35,0,329.06,0,159.08,2.7,0,0.78,0,67.18,113.38,2.22,92.63,75.84,233.97,173.52,386.76,98.76,250.31,408.65,58.74,288.08,162.91,118.9,90.87,117.61,170.33,254.05,101.69,27.54,144.65,200.34,29.08,113.39,231.59,343.31,140.41,663.53,959.13,854.49,168.76,1367.15,1098.77,2325.02,498.13,589.72,669.22,521.5,606.65,1191.22,662.47,556.09,477.88,1261.47,136.36,1273.12,336.38,549.82,1432.51,1518.79,1185.49,704.75,2044.28,987.25,1449.31,1260.09,943.09,601.41,1069.85,475.12,360.08,585.16,1087.5,870.97,540.53,463.38,624.88,94.02,1.35,0,2113.08,1861.61,2949.29,814.2,1145.44,1490.43,178.5,835.26,716.21,1088.4,1399.1,507.26,1968.13,24.03,1575.73,3.15,3.1,1332.13,146.15,575.46,1046.28,0,96.51,2.49,1.26,290.68,346.78,215.08,768.98,132.91,31.16,33.84,192.52,69.5,1529.95,730.92,963.11,0,0.73,1423.77,0,8129.82,0,30.41,0,2.6,0,1.07,1863.39,0.91,16.93,2470.02,0.97,2371.42,1.51,4100.86,0,15.32,0,0,121.85,2.57
"SOX4",1430.42,420.69,201.67,287.96,426.38,1618.87,3027.3,602.79,3522.33,980.94,1052.59,3724.42,929.43,2712.53,2535.13,1573.11,1215.39,2509.51,882.03,1770.84,1080.73,2210.12,6.43,354.63,153.5,66.63,304.46,48.07,141.97,100.23,37.7,1.41,45,233.8,44.36,202.12,113.89,5.8,418.94,0,0,4.1,0,0,0,0,0.15,0.15,0,0,9.05,9.53,1.07,92.15,13.02,1.9,29.21,53.74,90.64,129.5,205.15,75.61,11.89,98.83,93.72,34.44,94.7,54.93,116.73,51.58,158.17,154.24,114.71,63.85,150.38,43.46,3.14,310.12,46.71,28.41,25.83,31.28,0.36,10.17,26.36,154.99,191.53,0,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0.18,0,0,0.16,0,0,0,0,0,0,0,6.12,0,33.22,21.91,30.23,4.39,9.76,0,0,70.45,0,6.82,39.61,31.78,10.46,54.19,93.13,155.89,0,8.34,31.41,102.25,84.31,13.89,34.74,245.05,0,66.38,3.87,77.99,0.35,62.98,50.07,110.53,283.52,37.83,15.38,51.21,12.39,249.57,117.24,63.56,38.76,354.02,176.89,136.17,156.28,174.04,448.11,99.04,7.1,0.56,69.06,1004.67,1217.34,938.74,848.76,815.15,1003.74,1082.79,1696.29,618.24,800.5,1205.61,999,528.95,999.55,976.95,703.5,722.98,954.74,1237.27,847.32,1444.4,1185.75,402.9,1482.02,107.22,52.7,185.68,26.86,224.15,31.34,168.48,81.42,29.09,32.28,0.35,130.61,63.12,99.59,134.77,42.74,173.05,79.82,36.54,0.14,60.35,32.72,48.8,173.45,205.07,332.5,20.88,225.27,142.2,178.32,68.7,24.3,98.73,62.52,56.32,14.69,37.48,68.22,15.62,44.34,3156.11,6955.26,10942.6,3427.05,3583.41,6566.58,6407.43,9267.43,4293.27,4904.38,8695.67,5798.41,6196.17,3783.63,1967.49,10216.05,6125.85,4870.27,10140.09,308.61,1166.02,1393.53,7070.48,1341.56,472.29,646.5,608.5,108.45,1376.54,1370.81,868.87,325.66,579.73,248.55,414.64,3773.73,80.39,402.72,723.54,22175.34,8140.34,962.13,1555.12,16207.45,5559.86,8966.14,8279,18899.49,17452.08,0,17761.86,3097.32,6742.68,1024,166.55,890.34,708.21,19592.94,1340.05,16580.27,732.16,20304.27,19110.02,1871.09,23149.75
